emir ((24,49),(40,107),3.687143584000296)
monastery ((2,-3),(2,3),0.05113158300082432)
church ((4,25),(-4,58),3.3933759999999893)
three_generations ((12,53),(9,111),3.8013116670044838)
melons ((10,80),(13,177),3.582036874999176)
onion_church ((26,51),(36,107),3.538803707997431)
train ((2,42),(30,86),3.5046957909944467)
tobolsk ((3,3),(3,6),0.05030783300026087)
icon ((17,42),(23,90),3.5466641249950044)
cathedral ((2,5),(3,12),0.04838587500125868)
self_portrait ((29,78),(37,176),3.6647923749987967)
harvesters ((17,60),(14,124),3.449887957998726)
sculpture ((-11,33),(-27,140),3.623725582998304)
lady ((9,56),(13,119),3.5158652090030955)
