emir ((8,27),(17,107),8.82453879199602)
monastery ((1,-3),(1,7),0.09240904200123623)
church ((-5,-1),(-6,53),8.345933124997828)
three_generations ((5,52),(7,108),8.609514625000884)
melons ((4,83),(7,176),8.837978958006715)
onion_church ((22,52),(35,108),8.366027333002421)
train ((-2,41),(2,97),8.19836729200324)
tobolsk ((2,3),(3,6),0.09251366599346511)
icon ((16,42),(22,89),8.482053167004779)
cathedral ((-1,3),(-1,9),0.0922985420038458)
self_portrait ((-2,63),(-4,147),8.9552169170056)
harvesters ((10,59),(7,120),8.143220707999717)
sculpture ((-11,33),(-26,140),8.693139582996082)
lady ((-6,57),(-17,113),8.282611499998893)
