emir ((23,49),(40,107),8.819455124998058)
monastery ((0,-3),(1,3),0.08822054199845297)
church ((-2,25),(-14,54),8.329349291001563)
three_generations ((0,54),(7,107),8.813686957997561)
melons ((5,78),(11,177),8.124893291998887)
onion_church ((24,52),(35,107),8.005964750002022)
train ((1,41),(29,85),7.97395954199601)
tobolsk ((2,3),(3,6),0.1128977920016041)
icon ((16,40),(23,90),7.89502133300266)
cathedral ((-1,5),(-1,17),0.09654333300568396)
self_portrait ((-3,79),(37,176),7.863586999999825)
harvesters ((-6,71),(4,123),7.6049944999977015)
sculpture ((-11,33),(-26,140),8.13666629200452)
lady ((-10,59),(-21,77),7.642337625002256)
